stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
"34308","57903",אח''י אילת/הרב קוק,רחוב: אח''י אילת 6 עיר: קרית שמונה רציף:  קומה: ,"33.199795",35.564554,false,,"57903"
"34309","57904",הירדן/התעשיה,רחוב: הירדן עיר: קרית שמונה רציף:  קומה: ,"33.199245",35.577479,false,,"57904"
"35316","58852",מתחם ביג/קריית שמונה,רחוב:   עיר: מפעלים אזוריים הגליל העליון רציף:  קומה: ,"33.192391",35.570342,false,,"58852"
"39197","51312",הר גלבוע/הר הכרמל,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.224463",35.569538,false,,"51312"
"40687","54798",אליעזר פרי/טרומפלדור,רחוב: אליעזר פרי 8 עיר: קרית שמונה רציף:  קומה: ,"33.201951",35.571541,false,,"54798"
"40688","54797",הרצל/ששת הימים,רחוב: הרצל 6 עיר: קרית שמונה רציף:  קומה: ,"33.211723",35.567089,false,,"54797"
"43083","56230",גן התעשיה תל חי,רחוב:   עיר: הגליל העליון רציף:  קומה: ,"33.233531",35.581526,false,,"56230"
"43084","56229",גן התעשיה תל חי,רחוב:   עיר: הגליל העליון רציף:  קומה: ,"33.233557",35.581968,false,,"56229"
"43085","56228",מכללת תל חי/קמפוס המערב,רחוב:   עיר: הגליל העליון רציף:  קומה: ,"33.232385",35.579707,false,,"56228"
"43089","56227",מכללת תל חי/כניסה,רחוב:   עיר: תל חי רציף:  קומה: ,"33.230641",35.580364,false,,"56227"
"43631","56295",ש''י עגנון/רמב''ם,רחוב: ש''י עגנון 18 עיר: קרית שמונה רציף:  קומה: ,"33.215192",35.574696,false,,"56295"
"44013","56382",מסעף איזור תעשיה,רחוב: 99 עיר: קרית שמונה רציף:  קומה: ,"33.220998",35.586367,false,,"56382"
"44167","56401",אזור תעשיה צפוני,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.216186",35.587745,false,,"56401"
"44213","56426",האצ''ל/נוף החרמון,רחוב: האצ''ל 166 עיר: קרית שמונה רציף:  קומה: ,"33.215482",35.566929,false,,"56426"
"44214","56425",יהלום/יובל יניב,רחוב: יהלום עיר: קרית שמונה רציף:  קומה: ,"33.195138",35.575802,false,,"56425"
"44215","56424",יהלום/לשם,רחוב: יהלום עיר: קרית שמונה רציף:  קומה: ,"33.198786",35.576569,false,,"56424"
"44216","56423",האצ''ל ג,רחוב: האצ''ל 158 עיר: קרית שמונה רציף:  קומה: ,"33.218044",35.567629,false,,"56423"
"44217","56422",האצ''ל א,רחוב: האצ''ל 9 עיר: קרית שמונה רציף:  קומה: ,"33.223108",35.567706,false,,"56422"
"44218","56421",ספיר/אחלמה,רחוב: ספיר עיר: קרית שמונה רציף:  קומה: ,"33.195460",35.571564,false,,"56421"
"44219","56420",הרצל/ ברל כצנלסון,רחוב: הרצל 44 עיר: קרית שמונה רציף:  קומה: ,"33.207254",35.567037,false,,"56420"
"44220","56419",הרצל/טשרניחובסקי,רחוב: הרצל 26 עיר: קרית שמונה רציף:  קומה: ,"33.209293",35.567504,false,,"56419"
"44221","56418",הרצל/טשרניחובסקי,רחוב: הרצל 21 עיר: קרית שמונה רציף:  קומה: ,"33.210151",35.567561,false,,"56418"
"44222","56417",אזור תעשיה צפוני/אלי הורוביץ,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.218049",35.586805,false,,"56417"
"44223","56416",אזור תעשיה צפוני/אלי הורוביץ,רחוב:   עיר: קרית שמונה רציף:  קומה: ,"33.218394",35.587018,false,,"56416"
"44224","56415",יקותיאל אדם/הר הצופים,רחוב: יקותיאל אדם 16 עיר: קרית שמונה רציף:  קומה: ,"33.220169",35.568872,false,,"56415"
"44225","56414",האצ''ל ב,רחוב: האצ''ל 11 עיר: קרית שמונה רציף:  קומה: ,"33.221843",35.567252,false,,"56414"
"44226","56413",האצ''ל/הר כרמל,רחוב: האצ''ל 3 עיר: קרית שמונה רציף:  קומה: ,"33.224138",35.569131,false,,"56413"
"44830","56498",אורן/אל על,רחוב: אורן 2 עיר: קרית שמונה רציף:  קומה: ,"33.222588",35.58686,false,,"56498"
"44831","56497",אורן/תבור,רחוב: אורן 13 עיר: קרית שמונה רציף:  קומה: ,"33.223837",35.58608,false,,"56497"
"46217","53488",ג'לבון/סער,רחוב: ג'לבון 46 עיר: קרית שמונה רציף:  קומה: ,"33.227904",35.587512,false,,"53488"
"46241","52733",אל על/אורן,רחוב: אל על 4 עיר: קרית שמונה רציף:  קומה: ,"33.222281",35.588675,false,,"52733"
"46310","53487",עיון/שני,רחוב: עיון עיר: קרית שמונה רציף:  קומה: ,"33.227257",35.588974,false,,"53487"
"46457","53556",אורן/בזלת,רחוב: אורן 28 עיר: קרית שמונה רציף:  קומה: ,"33.225731",35.585766,false,,"53556"
"46507","53554",ג'לבון/סער,רחוב: ג'לבון 77 עיר: קרית שמונה רציף:  קומה: ,"33.228006",35.586492,false,,"53554"
"46978","53409",נקרות/בזלת,רחוב: נקרות 16 עיר: קרית שמונה רציף:  קומה: ,"33.224729",35.589428,false,,"53409"
"47150","53478",עיון/שני,רחוב: עיון 25 עיר: קרית שמונה רציף:  קומה: ,"33.226055",35.589017,false,,"53478"
"47152","52891",אל על/נקרות,רחוב: אל על 8 עיר: קרית שמונה רציף:  קומה: ,"33.222402",35.590293,false,,"52891"
"47161","53578",אורן/עורבים,רחוב: אורן 47 עיר: קרית שמונה רציף:  קומה: ,"33.227443",35.58543,false,,"53578"
"47323","53066",נקרות/לוטם,רחוב: נקרות 7 עיר: קרית שמונה רציף:  קומה: ,"33.223550",35.590353,false,,"53066"
"47877","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 5   קומה: ,"33.209085",35.569276,false,"18709","51437"
"47911","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 1   קומה: ,"33.209085",35.569276,false,"18709","51437"
"47916","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 6   קומה: ,"33.209085",35.569276,false,"18709","51437"
"47974","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 4   קומה: ,"33.209085",35.569276,false,"18709","51437"
"47988","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 2   קומה: ,"33.209085",35.569276,false,"18709","51437"
"48182","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 3   קומה: ,"33.209085",35.569276,false,"18709","51437"
"48183","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 9   קומה: ,"33.209085",35.569276,false,"18709","51437"
"48241","51437",ת. מרכזית ק''ש/רציפים,רחוב:   עיר: קרית שמונה רציף: 7   קומה: ,"33.209085",35.569276,false,"18709","51437"
